LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
HUN,EXCH,TOT,NATUSD,A,2015,279.3325,
HUN,EXCH,TOT,NATUSD,A,2016,281.523333,
HUN,EXCH,TOT,NATUSD,A,2017,274.433333,
ISL,EXCH,TOT,NATUSD,A,2008,87.947917,
ISL,EXCH,TOT,NATUSD,A,2009,123.638381,
ISL,EXCH,TOT,NATUSD,A,2010,122.241811,
ISL,EXCH,TOT,NATUSD,A,2011,115.95404,
ISL,EXCH,TOT,NATUSD,A,2012,125.082787,
ISL,EXCH,TOT,NATUSD,A,2013,122.179121,
ISL,EXCH,TOT,NATUSD,A,2014,116.767353,
ISL,EXCH,TOT,NATUSD,A,2015,131.918708,
ISL,EXCH,TOT,NATUSD,A,2016,120.811548,
ISL,EXCH,TOT,NATUSD,A,2017,106.839572,
IRL,EXCH,TOT,NATUSD,A,2008,0.682675,
IRL,EXCH,TOT,NATUSD,A,2009,0.719843,
IRL,EXCH,TOT,NATUSD,A,2010,0.755045,
IRL,EXCH,TOT,NATUSD,A,2011,0.719355,
IRL,EXCH,TOT,NATUSD,A,2012,0.778294,
IRL,EXCH,TOT,NATUSD,A,2013,0.753159,
IRL,EXCH,TOT,NATUSD,A,2014,0.753731,
IRL,EXCH,TOT,NATUSD,A,2015,0.901659,
IRL,EXCH,TOT,NATUSD,A,2016,0.904035,
IRL,EXCH,TOT,NATUSD,A,2017,0.887397,
ITA,EXCH,TOT,NATUSD,A,2008,0.682675,
ITA,EXCH,TOT,NATUSD,A,2009,0.719843,
ITA,EXCH,TOT,NATUSD,A,2010,0.755045,
ITA,EXCH,TOT,NATUSD,A,2011,0.719355,
ITA,EXCH,TOT,NATUSD,A,2012,0.778294,
ITA,EXCH,TOT,NATUSD,A,2013,0.753159,
ITA,EXCH,TOT,NATUSD,A,2014,0.753731,
ITA,EXCH,TOT,NATUSD,A,2015,0.901659,
ITA,EXCH,TOT,NATUSD,A,2016,0.904035,
ITA,EXCH,TOT,NATUSD,A,2017,0.887397,
JPN,EXCH,TOT,NATUSD,A,2008,103.359494,
JPN,EXCH,TOT,NATUSD,A,2009,93.570089,
JPN,EXCH,TOT,NATUSD,A,2010,87.779875,
JPN,EXCH,TOT,NATUSD,A,2011,79.80702,
JPN,EXCH,TOT,NATUSD,A,2012,79.790455,
JPN,EXCH,TOT,NATUSD,A,2013,97.595658,
JPN,EXCH,TOT,NATUSD,A,2014,105.944781,
JPN,EXCH,TOT,NATUSD,A,2015,121.044026,
JPN,EXCH,TOT,NATUSD,A,2016,108.7929,
JPN,EXCH,TOT,NATUSD,A,2017,112.166141,
KOR,EXCH,TOT,NATUSD,A,2008,1102.046667,
KOR,EXCH,TOT,NATUSD,A,2009,1276.93,
KOR,EXCH,TOT,NATUSD,A,2010,1156.060988,
KOR,EXCH,TOT,NATUSD,A,2011,1108.292125,
KOR,EXCH,TOT,NATUSD,A,2012,1126.470826,
KOR,EXCH,TOT,NATUSD,A,2013,1094.852917,
KOR,EXCH,TOT,NATUSD,A,2014,1052.960833,
KOR,EXCH,TOT,NATUSD,A,2015,1131.1575,
KOR,EXCH,TOT,NATUSD,A,2016,1160.433435,
KOR,EXCH,TOT,NATUSD,A,2017,1130.424621,
LUX,EXCH,TOT,NATUSD,A,2008,0.682675,
LUX,EXCH,TOT,NATUSD,A,2009,0.719843,
LUX,EXCH,TOT,NATUSD,A,2010,0.755045,
LUX,EXCH,TOT,NATUSD,A,2011,0.719355,
LUX,EXCH,TOT,NATUSD,A,2012,0.778294,
LUX,EXCH,TOT,NATUSD,A,2013,0.753159,
LUX,EXCH,TOT,NATUSD,A,2014,0.753731,
LUX,EXCH,TOT,NATUSD,A,2015,0.901659,
LUX,EXCH,TOT,NATUSD,A,2016,0.904035,
LUX,EXCH,TOT,NATUSD,A,2017,0.887397,
MEX,EXCH,TOT,NATUSD,A,2008,11.129717,
MEX,EXCH,TOT,NATUSD,A,2009,13.513475,
MEX,EXCH,TOT,NATUSD,A,2010,12.636008,
MEX,EXCH,TOT,NATUSD,A,2011,12.423325,
MEX,EXCH,TOT,NATUSD,A,2012,13.169458,
MEX,EXCH,TOT,NATUSD,A,2013,12.771992,
MEX,EXCH,TOT,NATUSD,A,2014,13.29245,
MEX,EXCH,TOT,NATUSD,A,2015,15.848267,
MEX,EXCH,TOT,NATUSD,A,2016,18.664058,
MEX,EXCH,TOT,NATUSD,A,2017,18.926517,
NLD,EXCH,TOT,NATUSD,A,2008,0.682675,
NLD,EXCH,TOT,NATUSD,A,2009,0.719843,
NLD,EXCH,TOT,NATUSD,A,2010,0.755045,
NLD,EXCH,TOT,NATUSD,A,2011,0.719355,
NLD,EXCH,TOT,NATUSD,A,2012,0.778294,
NLD,EXCH,TOT,NATUSD,A,2013,0.753159,
NLD,EXCH,TOT,NATUSD,A,2014,0.753731,
NLD,EXCH,TOT,NATUSD,A,2015,0.901659,
NLD,EXCH,TOT,NATUSD,A,2016,0.904035,
NLD,EXCH,TOT,NATUSD,A,2017,0.887397,
NZL,EXCH,TOT,NATUSD,A,2008,1.422727,
NZL,EXCH,TOT,NATUSD,A,2009,1.600877,
NZL,EXCH,TOT,NATUSD,A,2010,1.387834,
NZL,EXCH,TOT,NATUSD,A,2011,1.265811,
NZL,EXCH,TOT,NATUSD,A,2012,1.234284,
NZL,EXCH,TOT,NATUSD,A,2013,1.219408,
NZL,EXCH,TOT,NATUSD,A,2014,1.205433,
NZL,EXCH,TOT,NATUSD,A,2015,1.433975,
NZL,EXCH,TOT,NATUSD,A,2016,1.436525,
NZL,EXCH,TOT,NATUSD,A,2017,1.407408,
NOR,EXCH,TOT,NATUSD,A,2008,5.64,
NOR,EXCH,TOT,NATUSD,A,2009,6.288333,
NOR,EXCH,TOT,NATUSD,A,2010,6.044167,
NOR,EXCH,TOT,NATUSD,A,2011,5.604607,
NOR,EXCH,TOT,NATUSD,A,2012,5.8175,
NOR,EXCH,TOT,NATUSD,A,2013,5.875,
NOR,EXCH,TOT,NATUSD,A,2014,6.301667,
NOR,EXCH,TOT,NATUSD,A,2015,8.064167,
NOR,EXCH,TOT,NATUSD,A,2016,8.4,
NOR,EXCH,TOT,NATUSD,A,2017,8.271667,
POL,EXCH,TOT,NATUSD,A,2008,2.409242,
POL,EXCH,TOT,NATUSD,A,2009,3.120142,
POL,EXCH,TOT,NATUSD,A,2010,3.0153,
POL,EXCH,TOT,NATUSD,A,2011,2.962848,
POL,EXCH,TOT,NATUSD,A,2012,3.256542,
POL,EXCH,TOT,NATUSD,A,2013,3.160617,
POL,EXCH,TOT,NATUSD,A,2014,3.154542,
POL,EXCH,TOT,NATUSD,A,2015,3.7695,
POL,EXCH,TOT,NATUSD,A,2016,3.942783,
POL,EXCH,TOT,NATUSD,A,2017,3.779333,
PRT,EXCH,TOT,NATUSD,A,2008,0.682675,
PRT,EXCH,TOT,NATUSD,A,2009,0.719843,
PRT,EXCH,TOT,NATUSD,A,2010,0.755045,
PRT,EXCH,TOT,NATUSD,A,2011,0.719355,
PRT,EXCH,TOT,NATUSD,A,2012,0.778294,
PRT,EXCH,TOT,NATUSD,A,2013,0.753159,
PRT,EXCH,TOT,NATUSD,A,2014,0.753731,
PRT,EXCH,TOT,NATUSD,A,2015,0.901659,
PRT,EXCH,TOT,NATUSD,A,2016,0.904035,
PRT,EXCH,TOT,NATUSD,A,2017,0.887397,
SVK,EXCH,TOT,NATUSD,A,2008,0.709069,
SVK,EXCH,TOT,NATUSD,A,2009,0.719843,
SVK,EXCH,TOT,NATUSD,A,2010,0.755045,
SVK,EXCH,TOT,NATUSD,A,2011,0.719355,
SVK,EXCH,TOT,NATUSD,A,2012,0.778294,
SVK,EXCH,TOT,NATUSD,A,2013,0.753159,
SVK,EXCH,TOT,NATUSD,A,2014,0.753731,
SVK,EXCH,TOT,NATUSD,A,2015,0.901659,
SVK,EXCH,TOT,NATUSD,A,2016,0.904035,
SVK,EXCH,TOT,NATUSD,A,2017,0.887397,
ESP,EXCH,TOT,NATUSD,A,2008,0.682675,
ESP,EXCH,TOT,NATUSD,A,2009,0.719843,
ESP,EXCH,TOT,NATUSD,A,2010,0.755045,
ESP,EXCH,TOT,NATUSD,A,2011,0.719355,
ESP,EXCH,TOT,NATUSD,A,2012,0.778294,
ESP,EXCH,TOT,NATUSD,A,2013,0.753159,
ESP,EXCH,TOT,NATUSD,A,2014,0.753731,
ESP,EXCH,TOT,NATUSD,A,2015,0.901659,
ESP,EXCH,TOT,NATUSD,A,2016,0.904035,
ESP,EXCH,TOT,NATUSD,A,2017,0.887397,
SWE,EXCH,TOT,NATUSD,A,2008,6.591099,
SWE,EXCH,TOT,NATUSD,A,2009,7.653819,
SWE,EXCH,TOT,NATUSD,A,2010,7.207524,
SWE,EXCH,TOT,NATUSD,A,2011,6.493543,
SWE,EXCH,TOT,NATUSD,A,2012,6.775016,
SWE,EXCH,TOT,NATUSD,A,2013,6.513972,
SWE,EXCH,TOT,NATUSD,A,2014,6.860785,
SWE,EXCH,TOT,NATUSD,A,2015,8.434841,
SWE,EXCH,TOT,NATUSD,A,2016,8.561992,
SWE,EXCH,TOT,NATUSD,A,2017,8.548861,
CHE,EXCH,TOT,NATUSD,A,2008,1.08309,
CHE,EXCH,TOT,NATUSD,A,2009,1.088142,
CHE,EXCH,TOT,NATUSD,A,2010,1.042906,
CHE,EXCH,TOT,NATUSD,A,2011,0.888042,
CHE,EXCH,TOT,NATUSD,A,2012,0.937684,
CHE,EXCH,TOT,NATUSD,A,2013,0.926904,
CHE,EXCH,TOT,NATUSD,A,2014,0.916151,
CHE,EXCH,TOT,NATUSD,A,2015,0.962381,
CHE,EXCH,TOT,NATUSD,A,2016,0.985394,
CHE,EXCH,TOT,NATUSD,A,2017,0.984692,
TUR,EXCH,TOT,NATUSD,A,2008,1.301522,
TUR,EXCH,TOT,NATUSD,A,2009,1.54996,
TUR,EXCH,TOT,NATUSD,A,2010,1.502849,
TUR,EXCH,TOT,NATUSD,A,2011,1.674955,
TUR,EXCH,TOT,NATUSD,A,2012,1.796001,
TUR,EXCH,TOT,NATUSD,A,2013,1.903768,
TUR,EXCH,TOT,NATUSD,A,2014,2.188542,
TUR,EXCH,TOT,NATUSD,A,2015,2.720009,
TUR,EXCH,TOT,NATUSD,A,2016,3.020135,
TUR,EXCH,TOT,NATUSD,A,2017,3.648133,
GBR,EXCH,TOT,NATUSD,A,2008,0.543966,
GBR,EXCH,TOT,NATUSD,A,2009,0.641919,
GBR,EXCH,TOT,NATUSD,A,2010,0.647179,
GBR,EXCH,TOT,NATUSD,A,2011,0.624141,
GBR,EXCH,TOT,NATUSD,A,2012,0.633047,
GBR,EXCH,TOT,NATUSD,A,2013,0.639661,
GBR,EXCH,TOT,NATUSD,A,2014,0.60773,
GBR,EXCH,TOT,NATUSD,A,2015,0.654545,
GBR,EXCH,TOT,NATUSD,A,2016,0.740634,
GBR,EXCH,TOT,NATUSD,A,2017,0.777003,
USA,EXCH,TOT,NATUSD,A,2008,1,
USA,EXCH,TOT,NATUSD,A,2009,1,
USA,EXCH,TOT,NATUSD,A,2010,1,
USA,EXCH,TOT,NATUSD,A,2011,1,
USA,EXCH,TOT,NATUSD,A,2012,1,
USA,EXCH,TOT,NATUSD,A,2013,1,
USA,EXCH,TOT,NATUSD,A,2014,1,
USA,EXCH,TOT,NATUSD,A,2015,1,
USA,EXCH,TOT,NATUSD,A,2016,1,
USA,EXCH,TOT,NATUSD,A,2017,1,
BRA,EXCH,TOT,NATUSD,A,2008,1.833767,
BRA,EXCH,TOT,NATUSD,A,2009,1.999428,
BRA,EXCH,TOT,NATUSD,A,2010,1.759227,
BRA,EXCH,TOT,NATUSD,A,2011,1.672829,
BRA,EXCH,TOT,NATUSD,A,2012,1.953069,
BRA,EXCH,TOT,NATUSD,A,2013,2.156089,
BRA,EXCH,TOT,NATUSD,A,2014,2.352952,
BRA,EXCH,TOT,NATUSD,A,2015,3.326904,
BRA,EXCH,TOT,NATUSD,A,2016,3.491313,
BRA,EXCH,TOT,NATUSD,A,2017,3.191389,
CHL,EXCH,TOT,NATUSD,A,2008,522.461036,
CHL,EXCH,TOT,NATUSD,A,2009,560.859895,
CHL,EXCH,TOT,NATUSD,A,2010,510.249167,
CHL,EXCH,TOT,NATUSD,A,2011,483.6675,
CHL,EXCH,TOT,NATUSD,A,2012,486.471303,
CHL,EXCH,TOT,NATUSD,A,2013,495.272878,
CHL,EXCH,TOT,NATUSD,A,2014,570.348216,
CHL,EXCH,TOT,NATUSD,A,2015,654.124084,
CHL,EXCH,TOT,NATUSD,A,2016,676.957736,
CHL,EXCH,TOT,NATUSD,A,2017,648.833793,
CHN,EXCH,TOT,NATUSD,A,2008,6.948655,
CHN,EXCH,TOT,NATUSD,A,2009,6.831416,
CHN,EXCH,TOT,NATUSD,A,2010,6.770269,
CHN,EXCH,TOT,NATUSD,A,2011,6.461461,
CHN,EXCH,TOT,NATUSD,A,2012,6.312333,
CHN,EXCH,TOT,NATUSD,A,2013,6.195758,
CHN,EXCH,TOT,NATUSD,A,2014,6.143434,
CHN,EXCH,TOT,NATUSD,A,2015,6.227489,
CHN,EXCH,TOT,NATUSD,A,2016,6.644478,
CHN,EXCH,TOT,NATUSD,A,2017,6.758755,
COL,EXCH,TOT,NATUSD,A,2008,1967.711309,
COL,EXCH,TOT,NATUSD,A,2009,2158.255903,
COL,EXCH,TOT,NATUSD,A,2010,1898.569636,
COL,EXCH,TOT,NATUSD,A,2011,1848.13947,
COL,EXCH,TOT,NATUSD,A,2012,1796.895912,
COL,EXCH,TOT,NATUSD,A,2013,1868.785327,
COL,EXCH,TOT,NATUSD,A,2014,2001.781048,
COL,EXCH,TOT,NATUSD,A,2015,2741.880855,
COL,EXCH,TOT,NATUSD,A,2016,3054.121673,
COL,EXCH,TOT,NATUSD,A,2017,2951.327402,
EST,EXCH,TOT,NATUSD,A,2008,0.683499,
EST,EXCH,TOT,NATUSD,A,2009,0.719481,
EST,EXCH,TOT,NATUSD,A,2010,0.754595,
EST,EXCH,TOT,NATUSD,A,2011,0.719355,
EST,EXCH,TOT,NATUSD,A,2012,0.778294,
EST,EXCH,TOT,NATUSD,A,2013,0.753159,
EST,EXCH,TOT,NATUSD,A,2014,0.753731,
EST,EXCH,TOT,NATUSD,A,2015,0.901659,
EST,EXCH,TOT,NATUSD,A,2016,0.904035,
EST,EXCH,TOT,NATUSD,A,2017,0.887397,
IND,EXCH,TOT,NATUSD,A,2008,43.505183,
IND,EXCH,TOT,NATUSD,A,2009,48.405267,
IND,EXCH,TOT,NATUSD,A,2010,45.725812,
IND,EXCH,TOT,NATUSD,A,2011,46.670467,
IND,EXCH,TOT,NATUSD,A,2012,53.437233,
IND,EXCH,TOT,NATUSD,A,2013,58.597845,
IND,EXCH,TOT,NATUSD,A,2014,61.029514,
IND,EXCH,TOT,NATUSD,A,2015,64.151944,
IND,EXCH,TOT,NATUSD,A,2016,67.195313,
IND,EXCH,TOT,NATUSD,A,2017,65.121569,
IDN,EXCH,TOT,NATUSD,A,2008,9698.9625,
IDN,EXCH,TOT,NATUSD,A,2009,10389.9375,
IDN,EXCH,TOT,NATUSD,A,2010,9090.433333,
IDN,EXCH,TOT,NATUSD,A,2011,8770.433333,
IDN,EXCH,TOT,NATUSD,A,2012,9386.629167,
IDN,EXCH,TOT,NATUSD,A,2013,10461.24,
IDN,EXCH,TOT,NATUSD,A,2014,11865.2113,
IDN,EXCH,TOT,NATUSD,A,2015,13389.41294,
IDN,EXCH,TOT,NATUSD,A,2016,13308.3268,
IDN,EXCH,TOT,NATUSD,A,2017,13380.83388,
ISR,EXCH,TOT,NATUSD,A,2008,3.588021,
ISR,EXCH,TOT,NATUSD,A,2009,3.932335,
ISR,EXCH,TOT,NATUSD,A,2010,3.738975,
ISR,EXCH,TOT,NATUSD,A,2011,3.578129,
ISR,EXCH,TOT,NATUSD,A,2012,3.855922,
ISR,EXCH,TOT,NATUSD,A,2013,3.610758,
ISR,EXCH,TOT,NATUSD,A,2014,3.577925,
ISR,EXCH,TOT,NATUSD,A,2015,3.886833,
ISR,EXCH,TOT,NATUSD,A,2016,3.840567,
ISR,EXCH,TOT,NATUSD,A,2017,3.599556,
RUS,EXCH,TOT,NATUSD,A,2008,24.852875,
RUS,EXCH,TOT,NATUSD,A,2009,31.740358,
RUS,EXCH,TOT,NATUSD,A,2010,30.367915,
RUS,EXCH,TOT,NATUSD,A,2011,29.382341,
RUS,EXCH,TOT,NATUSD,A,2012,30.839831,
RUS,EXCH,TOT,NATUSD,A,2013,31.837144,
RUS,EXCH,TOT,NATUSD,A,2014,38.378207,
RUS,EXCH,TOT,NATUSD,A,2015,60.93765,
RUS,EXCH,TOT,NATUSD,A,2016,67.055933,
RUS,EXCH,TOT,NATUSD,A,2017,58.342801,
SVN,EXCH,TOT,NATUSD,A,2008,0.682675,
SVN,EXCH,TOT,NATUSD,A,2009,0.719843,
SVN,EXCH,TOT,NATUSD,A,2010,0.755045,
SVN,EXCH,TOT,NATUSD,A,2011,0.719355,
SVN,EXCH,TOT,NATUSD,A,2012,0.778294,
SVN,EXCH,TOT,NATUSD,A,2013,0.753159,
SVN,EXCH,TOT,NATUSD,A,2014,0.753731,
SVN,EXCH,TOT,NATUSD,A,2015,0.901659,
SVN,EXCH,TOT,NATUSD,A,2016,0.904035,
SVN,EXCH,TOT,NATUSD,A,2017,0.887397,
ZAF,EXCH,TOT,NATUSD,A,2008,8.261223,
ZAF,EXCH,TOT,NATUSD,A,2009,8.473674,
ZAF,EXCH,TOT,NATUSD,A,2010,7.321222,
ZAF,EXCH,TOT,NATUSD,A,2011,7.261132,
ZAF,EXCH,TOT,NATUSD,A,2012,8.209969,
ZAF,EXCH,TOT,NATUSD,A,2013,9.655056,
ZAF,EXCH,TOT,NATUSD,A,2014,10.852656,
ZAF,EXCH,TOT,NATUSD,A,2015,12.758931,
ZAF,EXCH,TOT,NATUSD,A,2016,14.709611,
ZAF,EXCH,TOT,NATUSD,A,2017,13.333781,
EU28,EXCH,TOT,NATUSD,A,2008,0.682675,
EU28,EXCH,TOT,NATUSD,A,2009,0.719843,
EU28,EXCH,TOT,NATUSD,A,2010,0.755045,
EU28,EXCH,TOT,NATUSD,A,2011,0.719355,
EU28,EXCH,TOT,NATUSD,A,2012,0.778294,
EU28,EXCH,TOT,NATUSD,A,2013,0.753159,
EU28,EXCH,TOT,NATUSD,A,2014,0.753731,
EU28,EXCH,TOT,NATUSD,A,2015,0.901659,
EU28,EXCH,TOT,NATUSD,A,2016,0.904035,
EU28,EXCH,TOT,NATUSD,A,2017,0.887397,
LVA,EXCH,TOT,NATUSD,A,2008,0.68414,
LVA,EXCH,TOT,NATUSD,A,2009,0.719333,
LVA,EXCH,TOT,NATUSD,A,2010,0.754798,
LVA,EXCH,TOT,NATUSD,A,2011,0.713191,
LVA,EXCH,TOT,NATUSD,A,2012,0.778133,
LVA,EXCH,TOT,NATUSD,A,2013,0.753256,
LVA,EXCH,TOT,NATUSD,A,2014,0.753731,
LVA,EXCH,TOT,NATUSD,A,2015,0.901659,
LVA,EXCH,TOT,NATUSD,A,2016,0.904035,
LVA,EXCH,TOT,NATUSD,A,2017,0.887397,
LTU,EXCH,TOT,NATUSD,A,2008,0.682656,
LTU,EXCH,TOT,NATUSD,A,2009,0.719426,
LTU,EXCH,TOT,NATUSD,A,2010,0.754846,
LTU,EXCH,TOT,NATUSD,A,2011,0.718576,
LTU,EXCH,TOT,NATUSD,A,2012,0.778004,
LTU,EXCH,TOT,NATUSD,A,2013,0.753304,
LTU,EXCH,TOT,NATUSD,A,2014,0.753097,
LTU,EXCH,TOT,NATUSD,A,2015,0.901659,
LTU,EXCH,TOT,NATUSD,A,2016,0.904035,
LTU,EXCH,TOT,NATUSD,A,2017,0.887397,
SAU,EXCH,TOT,NATUSD,A,2008,3.75,
SAU,EXCH,TOT,NATUSD,A,2009,3.75,
SAU,EXCH,TOT,NATUSD,A,2010,3.75,
SAU,EXCH,TOT,NATUSD,A,2011,3.75,
SAU,EXCH,TOT,NATUSD,A,2012,3.75,
SAU,EXCH,TOT,NATUSD,A,2013,3.75,
SAU,EXCH,TOT,NATUSD,A,2014,3.75,
SAU,EXCH,TOT,NATUSD,A,2015,3.75,
SAU,EXCH,TOT,NATUSD,A,2016,3.75,
SAU,EXCH,TOT,NATUSD,A,2017,3.75,
EA19,EXCH,TOT,NATUSD,A,2008,0.682675,
EA19,EXCH,TOT,NATUSD,A,2009,0.719843,
EA19,EXCH,TOT,NATUSD,A,2010,0.755045,
EA19,EXCH,TOT,NATUSD,A,2011,0.719355,
EA19,EXCH,TOT,NATUSD,A,2012,0.778294,
EA19,EXCH,TOT,NATUSD,A,2013,0.753159,
EA19,EXCH,TOT,NATUSD,A,2014,0.753731,
EA19,EXCH,TOT,NATUSD,A,2015,0.901659,
EA19,EXCH,TOT,NATUSD,A,2016,0.904035,
EA19,EXCH,TOT,NATUSD,A,2017,0.887397,
ARG,EXCH,TOT,NATUSD,A,2008,3.144165,
ARG,EXCH,TOT,NATUSD,A,2009,3.710107,
ARG,EXCH,TOT,NATUSD,A,2010,3.896295,
ARG,EXCH,TOT,NATUSD,A,2011,4.11014,
ARG,EXCH,TOT,NATUSD,A,2012,4.536934,
